卫视频道,#genre#
陕西卫视,http://153.0.171.163:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://61.136.172.236:9901/tsfile/live/0135_1.m3u8
湖北卫视,http://153.0.171.163:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://113.15.109.216:59901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
新疆卫视,http://58.56.162.102:4466/newlive/live/hls/44/live.m3u8
湖南卫视,http://153.0.171.163:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://153.0.171.163:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://153.0.171.163:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://153.0.171.163:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://153.0.171.163:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://153.0.171.163:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://153.0.171.163:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
河北卫视,http://153.0.171.163:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://153.0.171.163:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://153.0.171.163:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://153.0.171.163:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
河南卫视,http://221.226.51.220:50081/newlive/live/hls/37/live.m3u8
吉林卫视,http://153.0.171.163:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
四川卫视,http://153.0.171.163:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://153.0.171.163:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://58.56.162.102:4466/newlive/live/hls/43/live.m3u8
北京卫视,http://153.0.171.163:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8
贵州卫视,http://153.0.171.163:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://153.0.171.163:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
吉林卫视,http://111.8.224.6:9999/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://58.56.162.102:4466/newlive/live/hls/33/live.m3u8
吉林卫视,http://49.87.154.246:85/tsfile/live/0116_1.m3u8?key=txiptv
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
云南卫视,http://111.8.224.6:9999/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.214.208.34:59901/tsfile/live/0120_1.m3u8
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
内蒙古卫视,http://58.56.162.102:4466/newlive/live/hls/40/live.m3u8
广西卫视,http://111.8.224.6:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8
青海卫视,http://111.8.224.6:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8
浙江卫视,http://111.8.224.6:9999/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.8.224.6:9999/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://111.8.224.6:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8
江西卫视,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/jxwshd/51/20190820/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600633&netType=0&sid=5910021492&pid=2028597139&timestamp=20260720060221&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=783847495&ParentNodeID=-99&assertID=5910021492&client_ip=171.8.79.254&SecurityKey=20260720060221&promotionId=&mvid=5900004351&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2f9c0f0a49b63a421b8faf282381bb07&sv=10004&ct=android
西藏卫视,http://58.56.162.102:4466/newlive/live/hls/45/live.m3u8
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8
重庆卫视,http://111.8.224.6:9999/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.116.183.146:9901/tsfile/live/0126_1.m3u8
吉林卫视,http://113.25.252.226:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://111.8.224.6:9999/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://182.150.23.74:808/hls/31/index.m3u8
内蒙古卫视,http://182.150.23.74:808/hls/37/index.m3u8
黑龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8
湖北卫视,http://182.150.23.74:808/hls/28/index.m3u8
北京卫视,http://124.116.183.146:9901/tsfile/live/0122_1.m3u8
贵州卫视,http://182.150.23.74:808/hls/26/index.m3u8
深圳卫视,http://182.150.23.74:808/hls/20/index.m3u8
辽宁卫视,http://59.39.89.130:60901/tsfile/live/0125_13.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://59.39.89.130:60901/tsfile/live/0125_15.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://182.150.23.74:808/hls/38/index.m3u8
东南卫视,http://125.42.148.232:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
四川卫视,http://59.39.89.130:60901/tsfile/live/0125_16.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://59.39.89.130:60901/tsfile/live/0125_11.m3u8?key=txiptv&playlive=1&authid=0
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://124.116.183.146:9901/tsfile/live/0125_1.m3u8
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
吉林卫视,http://59.39.89.130:60901/tsfile/live/0125_19.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://124.116.183.146:9901/tsfile/live/0142_1.m3u8
湖北卫视,http://124.116.183.146:9901/tsfile/live/0132_1.m3u8
陕西卫视,http://124.116.183.146:9901/tsfile/live/0136_1.m3u8
江西卫视,http://59.39.89.130:60901/tsfile/live/0125_10.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://59.39.89.130:60901/tsfile/live/0125_18.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://124.116.183.146:9901/tsfile/live/0130_1.m3u8
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8
东方卫视,http://124.116.183.146:9901/tsfile/live/0107_1.m3u8
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
东方卫视,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
大湾区卫视,http://14.153.176.108:1234/608917627
江苏卫视,http://14.153.176.108:1234/623899368
兵团卫视,http://14.153.176.108:1234/956923145
湖南卫视,http://124.116.183.146:9901/tsfile/live/0128_1.m3u8
河南卫视,http://182.127.153.119:1234/790187291
三沙卫视,http://116.236.204.18:1234/961023778
宁夏卫视,http://223.247.25.221:1234/738910535
江西卫视,http://182.127.153.119:1234/783847495
江西卫视,http://14.153.176.108:1234/783847495
三沙卫视,http://182.127.153.119:1234/961023778
三沙卫视,http://14.153.176.108:1234/961023778
湖北卫视,http://222.130.32.10:7788/947472496
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=0ea6470f8e997d5777816cf3f2f763d3&wsTime=1784512751
山东教育卫视,http://116.236.204.18:1234/609154353
宁夏卫视,http://116.52.173.5:1234/738910535
河南卫视,http://14.153.176.108:1234/790187291
陕西卫视,http://116.52.173.5:1234/738910838
重庆卫视,http://182.127.153.119:1234/738910914
吉林卫视,http://223.247.25.221:1234/947472500
青海卫视,http://116.52.173.5:1234/947472506
河南卫视,http://223.247.25.221:1234/790187291
大湾区卫视,http://223.247.25.221:1234/608917627
陕西卫视,http://223.247.25.221:1234/738910838
山东教育卫视,http://119.88.243.98:17231/609154353
湖北卫视,http://182.127.153.119:1234/947472496
农林卫视,http://222.130.32.10:7788/956904896
兵团卫视,http://116.236.204.18:1234/956923145
海南卫视,http://116.236.204.18:1234/947472502
湖北卫视,http://116.52.173.5:1234/947472496
辽宁卫视,http://116.52.173.5:1234/630291707
广东卫视,http://116.52.173.5:1234/608831231
陕西卫视,http://116.236.204.18:1234/738910838
吉林卫视,http://116.236.204.18:1234/947472500
东方卫视,http://223.247.25.221:1234/651632648
宁夏卫视,http://116.236.204.18:1234/738910535
山东教育卫视,http://116.52.173.5:1234/609154353
河南卫视,http://116.52.173.5:1234/790187291
辽宁卫视,http://182.127.153.119:1234/630291707
吉林卫视,http://222.130.32.10:7788/947472500
大湾区卫视,http://116.52.173.5:1234/608917627
广东卫视,http://14.153.176.108:1234/608831231
陕西卫视,http://222.130.32.10:7788/738910838
山东教育卫视,http://14.153.176.108:1234/609154353
北京卫视,http://14.153.176.108:1234/630287636
湖北卫视,http://14.153.176.108:1234/947472496
河南卫视,http://101.6.130.52:1234/790187291
广东卫视,http://222.130.32.10:7788/608831231
海南卫视,http://223.247.25.221:1234/947472502
青海卫视,http://14.153.176.108:1234/947472506
海南卫视,http://116.52.173.5:1234/947472502
河南卫视,http://222.130.32.10:7788/790187291
江苏卫视,http://223.247.25.221:1234/623899368
青海卫视,http://119.88.243.98:17231/947472506
河南卫视,http://119.88.243.98:17231/790187291
农林卫视,http://116.52.173.5:1234/956904896
兵团卫视,http://119.88.243.98:17231/956923145
北京卫视,http://223.247.25.221:1234/630287636
兵团卫视,http://222.130.32.10:7788/956923145
农林卫视,http://116.236.204.18:1234/956904896
江苏卫视,http://222.130.32.10:7788/623899368
兵团卫视,http://116.52.173.5:1234/956923145
辽宁卫视,http://223.247.25.221:1234/630291707
东方卫视,http://222.130.32.10:7788/651632648
河南卫视,http://116.236.204.18:1234/790187291
吉林卫视,http://116.52.173.5:1234/947472500
大湾区卫视,http://222.130.32.10:7788/608917627
江苏卫视,http://182.127.153.119:1234/623899368
青海卫视,http://182.127.153.119:1234/947472506
兵团卫视,http://223.247.25.221:1234/956923145
东方卫视,http://116.52.173.5:1234/651632648
农林卫视,http://14.153.176.108:1234/956904896
农林卫视,http://101.6.130.52:1234/956904896
农林卫视,http://182.127.153.119:1234/956904896
江西卫视,http://116.52.173.5:1234/783847495
三沙卫视,http://223.247.25.221:1234/961023778
陕西卫视,http://101.6.130.52:1234/738910838
江西卫视,http://222.130.32.10:7788/783847495
湖北卫视,http://116.236.204.18:1234/947472496
湖北卫视,http://110.154.192.66:7788/947472496
山东教育卫视,http://222.130.32.10:7788/609154353
青海卫视,http://223.247.25.221:1234/947472506
辽宁卫视,http://116.236.204.18:1234/630291707
宁夏卫视,http://222.130.32.10:7788/738910535
三沙卫视,http://110.154.192.66:7788/961023778
广东卫视,http://116.236.204.18:1234/608831231
重庆卫视,http://110.154.192.66:7788/738910914
海南卫视,http://110.154.192.66:7788/947472502
江苏卫视,http://116.236.204.18:1234/623899368
北京卫视,http://110.154.192.66:7788/630287636
江西卫视,http://110.154.192.66:7788/783847495
青海卫视,http://116.236.204.18:1234/947472506
重庆卫视,http://101.6.130.52:1234/738910914
江苏卫视,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8
重庆卫视,http://223.247.25.221:1234/738910914
东方卫视,http://116.236.204.18:1234/651632648
山东教育卫视,http://110.154.192.66:7788/609154353
江苏卫视,http://110.154.192.66:7788/623899368
广东卫视,http://119.88.243.98:17231/608831231
湖北卫视,http://223.247.25.221:1234/947472496
吉林卫视,http://110.154.192.66:7788/947472500
辽宁卫视,http://101.6.130.52:1234/630291707
陕西卫视,http://110.154.192.66:7788/738910838
三沙卫视,http://101.6.130.52:1234/961023778
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8
广东卫视,http://110.154.192.66:7788/608831231
江苏卫视,http://116.52.173.5:1234/623899368
兵团卫视,http://110.154.192.66:7788/956923145
重庆卫视,http://116.52.173.5:1234/738910914
农林卫视,http://223.247.25.221:1234/956904896
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
北京卫视,http://101.6.130.52:1234/630287636
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
东方卫视,http://101.6.130.52:1234/651632648
江西卫视,http://116.236.204.18:1234/783847495
兵团卫视,http://182.127.153.119:1234/956923145
海南卫视,http://119.88.243.98:17231/947472502
大湾区卫视,http://110.154.192.66:7788/608917627
河南卫视,http://110.154.192.66:7788/790187291
农林卫视,http://110.154.192.66:7788/956904896
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://live.wjyanghu.com/live/CH1.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
宁夏卫视,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/ningxia/1000/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600697&netType=0&sid=5910022262&pid=2028597139&timestamp=20260720040223&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=738910535&ParentNodeID=-99&assertID=5910022262&client_ip=171.8.79.254&SecurityKey=20260720040223&promotionId=&mvid=5900004337&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=dc2a0544e52125f020756a95f2fc2d53&ddCalcu=3d5cvd2a2azc0af524f45e95a26152750f20&sv=10004&ct=android
青海卫视,http://110.154.192.66:7788/947472506
新疆卫视,http://123.130.84.106:8154/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://cssbyd.imwork.net:8082/hls/42/index.m3u8
海南卫视,http://cssbyd.imwork.net:8082/hls/31/index.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
四川卫视,http://124.116.183.146:9901/tsfile/live/0123_1.m3u8
东方卫视,http://110.154.192.66:7788/651632648
三沙卫视,http://222.130.32.10:7788/961023778
山东教育卫视,http://223.247.25.221:1234/609154353
辽宁卫视,http://110.154.192.66:7788/630291707
广东卫视,http://223.247.25.221:1234/608831231
大湾区卫视,http://119.88.243.98:17231/608917627
北京卫视,http://116.52.173.5:1234/630287636
北京卫视,http://222.130.32.10:7788/630287636
陕西卫视,http://182.127.153.119:1234/738910838
重庆卫视,http://116.236.204.18:1234/738910914
湖北卫视,http://101.6.130.52:1234/947472496
江西卫视,http://223.247.25.221:1234/783847495
广东卫视,http://182.127.153.119:1234/608831231
吉林卫视,http://hlszymgsplive.miguvideo.com:8080/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600633&netType=0&sid=5910022164&pid=2028597139&timestamp=20260720040222&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=947472500&ParentNodeID=-99&assertID=5910022164&client_ip=171.8.79.254&SecurityKey=20260720040222&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=61627f5d08b0a4df8a800ba9b64ba31a&sv=10004&ct=android
海南卫视,http://182.127.153.119:1234/947472502
北京卫视,http://116.236.204.18:1234/630287636
大湾区卫视,http://116.236.204.18:1234/608917627
北京卫视,http://182.127.153.119:1234/630287636
宁夏卫视,http://110.154.192.66:7788/738910535
海南卫视,http://hlszymgsplive.miguvideo.com:8080/envivo_x/SD/lvyou/711/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=600633&netType=0&sid=5910022165&pid=2028597139&timestamp=20260720040222&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=947472502&ParentNodeID=-99&assertID=5910022165&client_ip=171.8.79.254&SecurityKey=20260720040222&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=31fbdd45b33b0d7628382e1ee1de192e&sv=10004&ct=android
青海卫视,http://222.130.32.10:7788/947472506
三沙卫视,http://116.52.173.5:1234/961023778
重庆卫视,http://222.130.32.10:7788/738910914
辽宁卫视,http://222.130.32.10:7788/630291707
海南卫视,http://222.130.32.10:7788/947472502
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
海南卫视,http://111.221.137.234:44330/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://123.130.84.106:8154/tsfile/live/0116_1.m3u8
云南卫视,http://123.130.84.106:8154/tsfile/live/0119_1.m3u8
内蒙古卫视,http://222.134.245.16:9901/tsfile/live/0109_1.m3u8
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
